"true_m","r_obs","posterior_prob","bayes_call","fixed_call"
0,-0.0930382634238965,0.0966950176931807,"normal","normal"
0,0.0848143783863264,0.651966840795242,"mosaic-relevant","normal"
0,0.0440794457865194,0.477747288743035,"normal","normal"
0,-0.0535766797240927,0.163826811156313,"normal","normal"
0,-0.0457093442166266,0.181013782936238,"normal","normal"
0,-0.0185061664068263,0.25151105344672,"normal","normal"
0,-0.119517603508193,0.0664401387487605,"normal","normal"
0,-0.0769942270105179,0.120418598598812,"normal","normal"
0,-0.00839272474491162,0.282252988828167,"normal","normal"
0,0.0131400558262136,0.355744204410122,"normal","normal"
0,0.0791895612061471,0.628070285872331,"mosaic-relevant","normal"
0,0.0438367744250329,0.476733027789126,"normal","normal"
0,0.147180189070748,0.873775503687769,"mosaic-relevant","normal"
0,0.069152952108248,0.584930883721541,"mosaic-relevant","normal"
0,0.0357366773770688,0.44330627028235,"normal","normal"
0,-0.0149382423630174,0.262074202820921,"normal","normal"
0,0.0502141965341281,0.503595060464311,"mosaic-relevant","normal"
0,-0.0715307270866764,0.129563774319369,"normal","normal"
0,-0.0373019824017624,0.20093354326051,"normal","normal"
0,0.0646790703717239,0.565621874398972,"mosaic-relevant","normal"
0,-0.050673262889072,0.170009359359796,"normal","normal"
0,-0.0514435776551321,0.168350953274873,"normal","normal"
0,0.0209933040115014,0.38508647485762,"normal","normal"
0,0.00801234975064108,0.337287707706894,"normal","normal"
0,0.0312078998140558,0.425028271189053,"normal","normal"
0,0.0426317920151572,0.471706939084527,"normal","normal"
0,-0.0425240600092662,0.188368926531046,"normal","normal"
0,0.00370199719912559,0.322224294820225,"normal","normal"
0,0.00108914415586068,0.313299224354061,"normal","normal"
0,-0.046689862112877,0.178796170285997,"normal","normal"
0,0.00815232937410023,0.337783888061637,"normal","normal"
0,0.036083830494501,0.444720365319177,"normal","normal"
0,-0.0973598725225555,0.0910479036579485,"normal","normal"
0,-0.00886633633002757,0.280758295309335,"normal","normal"
0,-0.00624739346289626,0.289090808551104,"normal","normal"
0,0.00757358651769414,0.335735265930817,"normal","normal"
0,0.0845987368757144,0.651056185028081,"mosaic-relevant","normal"
0,-0.0379308258340766,0.199386869894579,"normal","normal"
0,0.0635312874299059,0.560669831867401,"mosaic-relevant","normal"
0,-0.149744405882785,0.0425534327348519,"normal","normal"
0,-0.0326980406974204,0.212540847988333,"normal","normal"
0,-0.0468707986941534,0.178389327733735,"normal","normal"
0,-0.0849094360767177,0.108151809747709,"normal","normal"
0,0.0273202776516586,0.409605875728061,"normal","normal"
0,0.0443607678997621,0.478923937862712,"normal","normal"
0,-0.0411625381341239,0.191583849153267,"normal","normal"
0,0.0525014787338065,0.513321353303919,"mosaic-relevant","normal"
0,-0.037752626267628,0.199824220539542,"normal","normal"
0,0.0392681609428886,0.457772144620075,"normal","normal"
0,-0.0375455251730201,0.200333437783519,"normal","normal"
0,0.0381189063981675,0.453045207131743,"normal","normal"
0,-0.0385174918100926,0.19795227877664,"normal","normal"
0,-0.0224886995269055,0.240084738528566,"normal","normal"
0,0.0629214960973643,0.558039828308094,"mosaic-relevant","normal"
0,-0.0927786859613105,0.0970437892501046,"normal","normal"
0,0.00575786633899202,0.32935664632178,"normal","normal"
0,0.0634544149866701,0.560338245133842,"mosaic-relevant","normal"
0,-0.00848012480908378,0.281976753944684,"normal","normal"
0,-0.0601870317824545,0.150432305883725,"normal","normal"
0,0.132833106801348,0.832491191116652,"mosaic-relevant","normal"
0,0.0573810405091535,0.534195424291237,"mosaic-relevant","normal"
0,0.0342546641962773,0.437289745321638,"normal","normal"
0,-0.0255717947725439,0.231502561603325,"normal","normal"
0,0.003163392849493,0.320371664057363,"normal","normal"
0,0.0220526795312198,0.38913937186235,"normal","normal"
0,-0.0187030711728622,0.250937082037771,"normal","normal"
0,0.0597000602058446,0.544161943267037,"mosaic-relevant","normal"
0,-0.0186010456819385,0.251234365932593,"normal","normal"
0,-0.0570184642328003,0.156735958947926,"normal","normal"
0,0.115037330640779,0.772131364037279,"mosaic-relevant","normal"
0,0.0525682971378232,0.513606110329552,"mosaic-relevant","normal"
0,0.0863318746949213,0.658361038368034,"mosaic-relevant","normal"
0,-0.0485586639753831,0.174629624707511,"normal","normal"
0,0.120476320260695,0.791571518293009,"mosaic-relevant","normal"
0,-0.0741851628031327,0.125049502844148,"normal","normal"
0,-0.0262029734224763,0.229773892398579,"normal","normal"
0,-0.0257544273602585,0.231001380989274,"normal","normal"
0,0.108785371467859,0.748819305361752,"mosaic-relevant","normal"
0,-0.0275521685368199,0.226110896608583,"normal","normal"
0,-0.0946785494458528,0.0945164127324306,"normal","normal"
0,0.0436080206039015,0.475777560020462,"normal","normal"
0,0.100280170337707,0.715641489196312,"mosaic-relevant","normal"
0,0.00421678460401153,0.32400120314738,"normal","normal"
0,0.0321811041036557,0.428928716437921,"normal","normal"
0,-0.0541040612602147,0.162723633742422,"normal","normal"
0,-0.0319328816911198,0.214518599888744,"normal","normal"
0,0.00919525856500636,0.341494390610702,"normal","normal"
0,0.0552014894261739,0.52485310369231,"mosaic-relevant","normal"
0,-0.0509705092264642,0.169367863979879,"normal","normal"
0,0.0015565161951908,0.314884124735386,"normal","normal"
0,0.0572979480456226,0.53383878393789,"mosaic-relevant","normal"
0,-0.0214534270148532,0.243018094644671,"normal","normal"
0,0.0659352963908058,0.571043500231715,"mosaic-relevant","normal"
0,-0.0287933598149657,0.22277977262167,"normal","normal"
0,-0.0178002603302595,0.253576471495878,"normal","normal"
0,0.0690995801916674,0.584700593965323,"mosaic-relevant","normal"
0,0.0347345983262936,0.439234488729897,"normal","normal"
0,0.0289490543494654,0.416035792802056,"normal","normal"
0,0.0998880558005054,0.714075628366165,"mosaic-relevant","normal"
0,0.183276233910486,0.946702976890459,"mosaic-relevant","mosaic-relevant"
0,0.0339398383686648,0.436015961242661,"normal","normal"
0,0.00403249523409692,0.323364390313795,"normal","normal"
0,-0.0102228727231219,0.276506948487676,"normal","normal"
0,-0.0568518097233612,0.157073421714269,"normal","normal"
0,-0.057902576883749,0.154955628209389,"normal","normal"
0,-0.0447337617964077,0.1832418891662,"normal","normal"
0,-0.0265978824459781,0.22869719909415,"normal","normal"
0,-0.0674096157532994,0.136844958163064,"normal","normal"
0,-0.127320320710336,0.0593183450087263,"normal","normal"
0,-0.0236075167021621,0.23694382129731,"normal","normal"
0,-0.0779434474472015,0.118887218954455,"normal","normal"
0,-0.0186625569620274,0.251055102946413,"normal","normal"
0,-0.0637085424235037,0.143673737021116,"normal","normal"
0,0.10981833154381,0.75273799609513,"mosaic-relevant","normal"
0,-0.066286131373721,0.138888547467401,"normal","normal"
0,0.0763012515312035,0.615704148280984,"mosaic-relevant","normal"
0,0.00742654449355895,0.335215958641375,"normal","normal"
0,-0.00227420217404823,0.302043861058888,"normal","normal"
0,0.00539486993544653,0.328090342428191,"normal","normal"
0,0.00587035185518285,0.329749653475827,"normal","normal"
0,0.132671532195607,0.831987081377731,"mosaic-relevant","normal"
0,-0.0189229511933858,0.250297249044839,"normal","normal"
0,-0.023858765998596,0.236242636646207,"normal","normal"
0,-0.0098046590879333,0.277812901630009,"normal","normal"
0,0.00411595991607442,0.32365270695385,"normal","normal"
0,0.126870940141819,0.81333559112571,"mosaic-relevant","normal"
0,-0.0288278456032285,0.222687747226365,"normal","normal"
0,-0.0581403535081682,0.15447966359258,"normal","normal"
0,-0.00275891496994445,0.300443639879839,"normal","normal"
0,0.023888604206157,0.396214079804696,"normal","normal"
0,0.0156049388754179,0.364817187397572,"normal","normal"
0,0.0258449780291069,0.403822371385001,"normal","normal"
0,-0.134549227721561,0.0533476994224996,"normal","normal"
0,-0.0446838017463125,0.183356574728462,"normal","normal"
0,-0.0498927171349632,0.171703206910836,"normal","normal"
0,-0.0172851353498575,0.255091303426499,"normal","normal"
0,-0.0940732956691346,0.0953152355282801,"normal","normal"
0,0.0900285230656626,0.673823095379525,"mosaic-relevant","normal"
0,0.0199286060497826,0.381035280653228,"normal","normal"
0,0.00332131058629932,0.320914163196255,"normal","normal"
0,0.0226887765015342,0.391583306970203,"normal","normal"
0,-0.00376808240527231,0.297129777300185,"normal","normal"
0,-0.0985172489105456,0.0895857226076801,"normal","normal"
0,0.0136181978830885,0.357494169039929,"normal","normal"
0,0.0161240402694751,0.366744161557885,"normal","normal"
0,-0.00584240519331129,0.290393962766485,"normal","normal"
0,0.0594791561281966,0.543211557926226,"mosaic-relevant","normal"
0,0.0695594272801541,0.586684613318539,"mosaic-relevant","normal"
0,0.148678431633622,0.877681306516826,"mosaic-relevant","normal"
0,-0.110744003561382,0.0753636304692379,"normal","normal"
0,-0.126287317980213,0.0602195869697306,"normal","normal"
0,0.0305625061122482,0.422450215871318,"normal","normal"
0,-0.00257217422637576,0.301059486683791,"normal","normal"
