embryo_id,latent_status,coverage,n_chromosomes,threshold_n_abnormal,bayes_n_abnormal,mean_abs_signal,sum_abs_signal,mean_posterior,sum_posterior,data_split
sim_0153,ambiguous,8.231090478978869,22,1,0,0.2724915393992442,5.994813866783373,0.14777296405774026,3.251005209270286,evaluation
sim_0154,abnormal,14.034122440441982,22,1,0,0.2316809289658603,5.096980437248926,0.18431414744024063,4.054911243685294,evaluation
sim_0155,ambiguous,13.784968815583582,22,1,0,0.3145358268924905,6.91978819163479,0.22935124157718198,5.045727314698004,evaluation
sim_0156,ambiguous,12.785154356940271,22,2,0,0.298012593971533,6.556277067373726,0.20703274950870315,4.554720489191469,evaluation
sim_0157,abnormal,9.906968153444915,22,1,0,0.23297861492846922,5.1255295284263225,0.1711525174022984,3.7653553828505646,calibration
sim_0158,abnormal,13.405326884708392,22,3,1,0.3670211050550707,8.074464311211555,0.2489365156940742,5.476603345269633,calibration
sim_0159,ambiguous,5.792897738893178,22,0,0,0.20292382137410533,4.464324070230317,0.12917640862243351,2.841880989693537,calibration
sim_0160,normal,6.208229800747587,22,0,0,0.23845540695377096,5.246018952982961,0.13502229274317476,2.970490440349845,evaluation
sim_0161,normal,15.087909048460865,22,0,0,0.20709131961557298,4.556009031542605,0.14209623605518945,3.1261171932141676,calibration
sim_0162,abnormal,8.552099886401601,22,2,0,0.30527321980498345,6.7160108357096355,0.1979096324833265,4.354011914633182,calibration
sim_0163,ambiguous,11.057327754708327,22,1,0,0.24542633664569669,5.399379406205327,0.1650077184002025,3.630169804804455,evaluation
sim_0164,normal,18.962388246946563,22,0,0,0.21222821367265232,4.669020700798351,0.15755094199715475,3.4661207239374043,calibration
sim_0165,normal,8.659377173574539,22,2,0,0.28878719489353466,6.353318287657762,0.16993700357570277,3.7386140786654614,evaluation
sim_0166,abnormal,6.940072455590645,22,2,0,0.3161634562937531,6.955596038462568,0.17086183747913117,3.7589604245408856,calibration
sim_0167,normal,3.5441686188788935,22,6,0,0.4974640397850547,10.944208875271205,0.16908832947624636,3.7199432484774198,calibration
sim_0168,abnormal,9.368764513450595,22,2,0,0.31180103866277936,6.859622850581147,0.18694287392817163,4.112743226419776,evaluation
sim_0169,abnormal,9.373118110406239,22,2,0,0.30514619860101716,6.713216369222377,0.1812171522737357,3.9867773500221855,calibration
sim_0170,normal,13.974585276427867,22,1,0,0.20733764634144922,4.561428219511883,0.16458966874594366,3.6209727124107607,calibration
sim_0171,ambiguous,8.305334923665294,22,0,0,0.21557579949208974,4.742667588825975,0.13332537374793746,2.9331582224546238,evaluation
sim_0172,ambiguous,9.003219964792478,22,0,0,0.18611672393233789,4.094567926511433,0.13360814375304056,2.9393791625668926,evaluation
sim_0173,abnormal,9.537931463409405,22,1,0,0.2781658100083644,6.119647820184015,0.16237319096352465,3.5722102011975423,calibration
sim_0174,ambiguous,11.273017557461166,22,1,0,0.15845293449395434,3.485964558866996,0.13270361655992102,2.9194795643182627,evaluation
sim_0175,normal,12.482656064665763,22,0,0,0.292069358631144,6.425525889885169,0.18910570946062524,4.160325608133755,calibration
sim_0176,abnormal,7.861993459267707,22,0,0,0.25716392877931116,5.657606433144846,0.14074861297559804,3.096469485463157,evaluation
sim_0177,ambiguous,11.044605818726225,22,0,0,0.16215545293862696,3.5674199646497935,0.11853047725488385,2.6076704996074445,calibration
sim_0178,ambiguous,11.311945463388124,22,0,0,0.2511397707624766,5.5250749567744855,0.16108395006333145,3.5438469013932923,calibration
sim_0179,ambiguous,10.255358532531694,22,0,0,0.18974299582585455,4.1743459081688,0.1264602660709436,2.7821258535607596,evaluation
sim_0180,abnormal,16.3833616601579,22,1,1,0.2605345567937783,5.731760249463123,0.2084578349934461,4.586072369855814,calibration
sim_0181,normal,5.367701201013171,22,0,0,0.1761856249324072,3.8760837485129582,0.12962014872944055,2.8516432720476925,evaluation
sim_0182,normal,12.406056650722048,22,1,0,0.2832218242774848,6.230880134104666,0.19447635180988307,4.278479739817428,evaluation
sim_0183,ambiguous,15.37467819207767,22,0,0,0.21025722052436097,4.625658851535941,0.1481861348919608,3.2600949676231377,calibration
sim_0184,abnormal,6.469840555604412,22,3,0,0.32622814357630753,7.177019158678766,0.1763020689572619,3.8786455170597613,evaluation
sim_0185,normal,10.521187520078694,22,0,0,0.19476988674533122,4.284937508397286,0.13208146827360082,2.905792302019218,calibration
sim_0186,normal,7.111081573153525,22,2,0,0.24713528869437262,5.436976351276198,0.15099591798873116,3.321910195752085,evaluation
sim_0187,ambiguous,8.822824897296815,22,0,0,0.2127431409152342,4.680349100135152,0.13467820820800916,2.962920580576202,evaluation
sim_0188,normal,10.123629672962823,22,0,0,0.24738205059772653,5.4424051131499835,0.14112528538651278,3.1047562785032814,evaluation
sim_0189,normal,9.434948049008275,22,1,0,0.2890980826074275,6.360157817363405,0.18014563472842846,3.9632039640254257,evaluation
sim_0190,abnormal,19.84846904310608,22,3,1,0.29477272027133666,6.484999845969407,0.2725276377598178,5.995608030715992,evaluation
sim_0191,abnormal,9.68542363077238,22,3,0,0.32442749618577205,7.137404916086985,0.21463970830362464,4.722073582679743,evaluation
sim_0192,normal,6.225715693201926,22,1,0,0.20967293368957296,4.612804541170605,0.13257146572378015,2.916572245923163,calibration
sim_0193,normal,7.677602260039421,22,0,0,0.23778947280015422,5.231368401603393,0.135948781185297,2.990873186076534,calibration
sim_0194,ambiguous,8.940719988136557,22,0,0,0.20162100538772437,4.435662118529936,0.13290988738705847,2.9240175225152862,calibration
sim_0195,normal,8.545736921786595,22,1,0,0.26425619992024774,5.813636398245451,0.14974168533143256,3.2943170772915167,evaluation
sim_0196,normal,12.43826515968243,22,1,0,0.18084955139405484,3.978690130669207,0.14786443318354617,3.253017530038016,calibration
sim_0197,normal,7.865421238752798,22,1,0,0.2821428548289141,6.20714280623611,0.15295826311119273,3.36508178844624,evaluation
sim_0198,abnormal,12.114010455302475,22,1,0,0.2312715321276267,5.087973706807787,0.17126828312301992,3.767902228706438,calibration
sim_0199,abnormal,8.9226498858255745,22,1,0,0.24583407993959594,5.40834975867111,0.14343025390556566,3.1554655859224447,calibration
sim_0200,normal,6.690956952622484,22,1,0,0.2785312862201909,6.127688296844201,0.1487319302862366,3.272102466297205,calibration
sim_0201,ambiguous,9.766889199482259,22,3,0,0.327234056354766,7.199149239804852,0.1992667411175522,4.383868304586148,evaluation
sim_0202,abnormal,8.020174768301313,22,0,0,0.2287711889667389,5.032966157268256,0.14140281271769906,3.1108618797893794,evaluation
