embryo_id,latent_status,coverage,n_chromosomes,threshold_n_abnormal,bayes_n_abnormal,mean_abs_signal,sum_abs_signal,mean_posterior,sum_posterior,data_split,evaluation_label,classifier,rule_name,embryo_call
sim_0103,abnormal,7.249146605324053,22,0,0,0.20644576204028456,4.54180676488626,0.130595233614213,2.873095139512686,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0105,normal,7.00247723368093,22,1,0,0.22780336998293862,5.01167413962465,0.14223166739826013,3.129096682761723,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0109,normal,11.137282960181258,22,1,0,0.19529839502683405,4.2965646905903485,0.14882006011466142,3.2740413225225513,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0111,abnormal,7.340530598663378,22,2,0,0.2903507188932325,6.387715815651116,0.16211172194286835,3.5664578827431033,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0113,normal,10.721942853718804,22,2,0,0.29167603706580403,6.416872815447689,0.1910821003443143,4.203806207574915,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0116,normal,12.171477044108007,22,1,0,0.2231983851337192,4.910364472941822,0.16682339642939983,3.6701147214467964,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0118,normal,10.026482693027672,22,2,0,0.2428871011414721,5.343516225112387,0.17090126130150213,3.7598277486330467,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0121,abnormal,9.172037948701599,22,1,0,0.22284146561789667,4.902512243593726,0.146982023828009,3.233604524216198,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0122,normal,9.258513863441056,22,1,0,0.21544169100999735,4.739717202219942,0.13604136733297376,2.992910081325422,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0123,abnormal,6.942590578307988,22,2,0,0.2911175537644486,6.4045861828178685,0.17212239982710814,3.786692796196379,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0125,abnormal,11.505964666825959,22,0,0,0.22245473052846879,4.894004071626313,0.1358828916390234,2.9894236160585144,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0126,normal,7.906716522231849,22,0,0,0.26663149612558845,5.865892914762946,0.14350295212225117,3.1570649466895255,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0130,abnormal,5.7007717409417,22,2,0,0.3110435392789624,6.842957864137173,0.15981519865998695,3.515934370519713,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0131,abnormal,10.463060456129476,22,3,0,0.3025266111664176,6.655585445661187,0.20439958921575077,4.496790962746517,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0133,normal,11.211830604276779,22,1,0,0.23048508842940718,5.070671945446958,0.15689944796682362,3.4517878552701196,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0134,normal,5.205580876786434,22,1,0,0.25381869362144954,5.58401125967189,0.13641721877940877,3.0011788131469928,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0135,ambiguous,9.673683096013697,22,0,0,0.1993000787192665,4.384601731823863,0.13154702480688776,2.8940345457515306,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0136,normal,15.65362271343786,22,0,0,0.27152974093914956,5.97365430066129,0.22402598921480235,4.928571762725652,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0138,abnormal,10.544808893621262,22,4,1,0.37828737887286984,8.322322335203136,0.25488353344487835,5.6074377357873235,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
